county,2014_score,2014_rate,2015_score,2015_rate,2016_score,2016_rate,2017_score,2017_rate,2018_score,2018_rate,2019_score,2019_rate,2020_score,2020_rate,2021_score,2021_rate,2022_score,2022_rate,2023_score,2023_rate
19147,54.33,Minor,49.04,Minor,12.61,Minor,9.43,Minor,12.14,Minor,18.6,Minor,32.06,Minor,24.52,Minor,64.43,Moderate,32.36,Minor
19149,24.42,Minor,20.88,Minor,21.01,Minor,5.96,Minor,15.82,Minor,24.12,Minor,34.51,Minor,21.61,Minor,53.11,Minor,17.29,Minor
19151,55.86,Minor,15.62,Minor,23.49,Minor,6.98,Minor,20.71,Minor,20.12,Minor,43.38,Minor,13.86,Minor,62.61,Moderate,17.29,Minor
19153,88.35,Moderate,85.84,Moderate,90.67,Moderate,78.76,Moderate,98.48,Severe,90.37,Moderate,85.31,Moderate,92.22,Moderate,93.94,Major,36.1,Minor
19155,67.5,Moderate,71.74,Minor,40.07,Minor,56.15,Minor,65.95,Moderate,49.77,Minor,55.89,Minor,59.33,Minor,79.35,Moderate,17.29,Minor
19157,37.13,Minor,43.15,Minor,31.24,Minor,14.16,Minor,81.24,Moderate,37,Minor,46.89,Minor,45.07,Minor,59.79,Moderate,47.25,Minor
19159,23.86,Minor,40.64,Minor,26.11,Minor,10.16,Minor,23.59,Minor,41.83,Minor,23.53,Minor,57.71,Minor,30.87,Minor,43.32,Minor
19161,44.18,Minor,33.72,Minor,12.84,Minor,4.5,Minor,10.06,Minor,20.91,Minor,25.58,Minor,38.09,Minor,31.54,Minor,17.29,Minor
19163,72.1,Moderate,58.41,Minor,40.64,Minor,52.22,Minor,95.3,Major,75.91,Moderate,76.08,Moderate,45.27,Minor,91.79,Major,36.33,Minor
19165,33.52,Minor,8.17,Minor,7.68,Minor,6.82,Minor,13.7,Minor,23.13,Minor,36.04,Minor,35.74,Minor,39.01,Minor,17.29,Minor
19167,35.11,Minor,11.78,Minor,37.66,Minor,7.15,Minor,7.91,Minor,30.28,Minor,24.95,Minor,26.77,Minor,44.74,Minor,17.29,Minor
19169,39.05,Minor,40.4,Minor,66.18,Minor,45.9,Minor,90.57,Moderate,9,Minor,30.21,Minor,30.44,Minor,35.04,Minor,36.53,Minor
19171,41.79,Minor,47.45,Minor,18.89,Minor,19.06,Minor,61.85,Minor,30.48,Minor,47.55,Minor,29.52,Minor,61.81,Moderate,44.64,Minor
19173,24.09,Minor,13.73,Minor,6.22,Minor,7.97,Minor,35.87,Minor,28.42,Minor,28.62,Minor,22.24,Minor,30.58,Minor,0.36,Minor
19175,20.35,Minor,5.86,Minor,13.37,Minor,5.46,Minor,12.91,Minor,32,Minor,45.53,Minor,28.09,Minor,33.55,Minor,46.33,Minor
19177,41.36,Minor,11.42,Minor,11.48,Minor,48.11,Minor,26.74,Minor,24.35,Minor,50.79,Minor,44.21,Minor,1.49,Minor,60.69,Minor
19179,56.22,Minor,18.07,Minor,16.74,Minor,35.08,Minor,27.99,Minor,51.39,Minor,60.69,Minor,61.85,Minor,68.76,Moderate,48.48,Minor
19181,44.37,Minor,23.03,Minor,38.09,Minor,11.75,Minor,45.27,Minor,34.35,Minor,50.83,Minor,58.11,Minor,46.79,Minor,33.09,Minor
19183,53.51,Minor,24.62,Minor,10.46,Minor,24.16,Minor,63.07,Minor,48.35,Minor,49.27,Minor,68.63,Moderate,48.01,Minor,60.79,Minor
19185,26.47,Minor,23.43,Minor,25.94,Minor,38.19,Minor,27.86,Minor,41.89,Minor,48.18,Minor,40.01,Minor,29.25,Minor,55.79,Minor
19187,29.12,Minor,6.82,Minor,10.82,Minor,5.23,Minor,24.72,Minor,18.13,Minor,47.02,Minor,31.67,Minor,86.47,Moderate,59.4,Minor
19189,32.83,Minor,25.65,Minor,12.18,Minor,8.11,Minor,27.07,Minor,75.55,Moderate,13.8,Minor,38.62,Minor,32.99,Minor,17.29,Minor
19191,36.2,Minor,12.94,Minor,52.71,Minor,6.75,Minor,21.91,Minor,42.62,Minor,48.15,Minor,47.78,Minor,40.47,Minor,38.48,Minor
19193,49.4,Minor,56.45,Minor,47.49,Minor,15.02,Minor,52.65,Minor,45.7,Minor,53.34,Minor,56.12,Minor,84.78,Moderate,38.88,Minor
19195,35.18,Minor,38.62,Minor,16.94,Minor,12.41,Minor,28.09,Minor,88.88,Moderate,44.61,Minor,30.24,Minor,56.75,Minor,48.21,Minor
19197,23.23,Minor,63.43,Minor,9.23,Minor,8.31,Minor,6.12,Minor,27.33,Minor,50.99,Minor,36,Minor,87.89,Moderate,56.09,Minor
20001,20.48,Minor,21.14,Minor,1.09,Minor,43.75,Minor,9.46,Minor,10.42,Minor,24.29,Minor,13.63,Minor,38.65,Minor,33.7,Minor
